occurrence_count	color_value	files
1	rgba(213, 86, 245, 0.2)	frontend/styles/ai-studio-layout.css
1	rgba(216, 230, 243, 0.68)	frontend/styles/ai-studio-model-picker.css
1	rgba(216, 230, 243, 0.75)	frontend/styles/ai-studio-model-picker.css
1	rgba(216, 230, 243, 0.85)	frontend/styles/ai-studio-model-picker.css
1	rgba(219, 39, 119, 0.35)	frontend/styles/ai-studio-layout.css
1	rgba(22, 26, 30, 0.95)	frontend/styles/ai-studio-layout.css
1	rgba(226, 236, 255, 0.8)	frontend/styles/ai-studio-controls.css
1	rgba(231, 236, 242, 0.04)	frontend/styles/ai-studio-controls.css
1	rgba(231, 236, 242, 0.9)	frontend/styles/ai-studio-controls.css
1	rgba(231, 236, 242, 0.95)	frontend/styles/ai-studio-controls.css
1	rgba(231, 244, 255, 0.9)	frontend/styles/ai-studio-model-picker.css
1	rgba(233, 237, 242, 0.72)	frontend/styles/ai-studio-controls.css
1	rgba(234, 240, 249, 0.8)	frontend/styles/ai-studio-modals.css
1	rgba(235, 235, 235, 0.7)	frontend/styles/ai-studio-reference-properties.css
1	rgba(235, 241, 249, 0.75)	frontend/styles/ai-studio-reference-properties.css
1	rgba(235, 241, 249, 0.9)	frontend/styles/ai-studio-reference-properties.css
1	rgba(24, 29, 38, 0.92)	frontend/styles/ai-studio-prompt-actions.css
1	rgba(240, 64, 64, 0.95)	frontend/styles/ai-studio-canvas.css
1	rgba(241, 84, 84, 0.08)	frontend/styles/ai-studio-history.css
1	rgba(241, 84, 84, 0.12)	frontend/styles/ai-studio-layout.css
1	rgba(241, 84, 84, 0.14)	frontend/styles/ai-studio-history.css
1	rgba(241, 84, 84, 0.4)	frontend/styles/ai-studio-layout.css
1	rgba(241, 84, 84, 0.45)	frontend/styles/ai-studio-history.css
1	rgba(245, 249, 255, 0.85)	frontend/styles/ai-studio-prompts.css
1	rgba(25, 29, 38, 0.95)	frontend/styles/ai-studio-canvas.css
1	rgba(251, 191, 36, 0.15)	frontend/styles/ai-studio-layout.css
1	rgba(251, 191, 36, 0.3)	frontend/styles/ai-studio-layout.css
1	rgba(253, 176, 104, 0.907)	frontend/styles/ai-studio-layout.css
1	rgba(255, 100, 100, 0.4)	frontend/styles/ai-studio-modals.css
1	rgba(255, 116, 116, 0.2)	frontend/styles/ai-studio-canvas.css
1	rgba(255, 116, 116, 0.6)	frontend/styles/ai-studio-history.css
1	rgba(255, 120, 120, 0.7)	frontend/styles/ai-studio-canvas.css
1	rgba(255, 120, 120, 0.8)	frontend/styles/ai-studio-modals.css
1	rgba(255, 120, 120, 0.9)	frontend/styles/ai-studio-canvas.css
1	rgba(255, 124, 124, 0.2)	frontend/styles/ai-studio-canvas.css
1	rgba(255, 124, 124, 0.7)	frontend/styles/ai-studio-canvas.css
1	rgba(255, 180, 66, 0.9)	frontend/styles/ai-studio-controls.css
1	rgba(255, 236, 236, 0.6)	frontend/styles/ai-studio-layout.css
1	rgba(255, 236, 236, 0.8)	frontend/styles/ai-studio-canvas.css
1	rgba(255, 255, 255, 0.01)	frontend/styles/ai-studio-reference-properties.css
1	rgba(255, 255, 255, 0.015)	frontend/styles/ai-studio-reference-properties.css
1	rgba(255, 255, 255, 0.019)	frontend/styles/ai-studio-prompt-actions.css
1	rgba(255, 255, 255, 0.12)	frontend/styles/ai-studio-canvas.css
1	rgba(255, 255, 255, 0.18)	frontend/styles/ai-studio-canvas.css
1	rgba(255, 255, 255, 0.246)	frontend/styles/ai-studio-reference-properties.css
1	rgba(255, 255, 255, 0.25)	frontend/styles/ai-studio-layout.css
1	rgba(255, 255, 255, 0.3)	frontend/styles/ai-studio-canvas.css
1	rgba(255, 255, 255, 0.315)	frontend/styles/ai-studio-reference-properties.css
1	rgba(255, 255, 255, 0.45)	frontend/styles/ai-studio-layout.css
1	rgba(255, 255, 255, 0.85)	frontend/styles/ai-studio-modals.css
1	rgba(255, 255, 255, 0.9)	frontend/styles/ai-studio-canvas.css
